Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192607879638672,24.659510070593672,23.754471558295847,24.64844536553832,212818400
2015-01-05,23.51106071472168,24.042134423807454,23.32518584507189,23.96247328303275,257142000
2015-01-06,23.51327896118164,23.77217687928269,23.15259047306622,23.57523726415586,263188400
2015-01-07,23.84298324584961,23.942558834690647,23.610637954237987,23.721278247722207,160423600
2015-01-08,24.75908660888672,24.816620038545683,24.05320094296326,24.170481081024192,237458000
2015-01-09,24.7856388092041,25.060026262015647,24.387333080738237,24.931683117483658,214798000
2015-01-12,24.174901962280273,24.9228296715174,24.075326382352763,24.916191524620462,198603200
2015-01-13,24.389541625976562,24.960445829902344,24.099664655994744,24.65729087939062,268367600
2015-01-14,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
2015-01-15,23.637184143066406,24.354132526775988,23.601780139150986,24.340856236337245,240056000
2015-01-16,23.453529357910156,23.805366375341244,23.278717488502334,23.68366137504563,314053200
2015-01-20,24.05762481689453,24.112944961639695,23.566381661439586,23.86289682691998,199599600
2015-01-21,24.241289138793945,24.57542161180635,23.958048567472943,24.10851943514098,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.000280380249023,25.17066568204172,24.67942253004134,24.849809520070863,185859200
2015-01-26,25.02683448791504,25.305648505097142,24.960451323601063,25.168453931002503,222460000
2015-01-27,24.150562286376953,24.8896402990191,24.1262212875984,24.876362316261897,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310256958007812,26.374428518206834,25.571179064885065,25.739352750639867,337745600
2015-01-30,25.92523193359375,26.553667930939003,25.85663381010451,26.1996193628405,334982000
2015-02-02,26.250507354736328,26.36999903755525,25.6862430443672,26.1221659368076,250956400
2015-02-03,26.25493812561035,26.35230042157659,26.0248061463723,26.221745704792397,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.64513397216797,26.70955879365363,26.491847269498656,26.66290499248517,168984800
2015-02-06,26.420753479003906,26.713996449152905,26.314118901268312,26.662900325573553,174826400
2015-02-09,26.596256256103516,26.62291363042409,26.309677617863073,26.336336687082827,155559200
2015-02-10,27.10721206665039,27.13609315192371,26.694007464418103,26.696227782593457,248034000
2015-02-11,27.742570877075195,27.751457234046466,27.213845349029228,27.273826139961198,294247200
2015-02-12,28.09358024597168,28.320178159043575,27.89586342284208,28.004718352510146,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.397930145263672,28.6311923911294,28.195769306193434,28.322396946689228,252609600
2015-02-18,28.595645904541016,28.608974594134033,28.313509545559175,28.353497309237724,179566800
2015-02-19,28.535667419433594,28.664517086594802,28.509010036503504,28.542331765166118,149449600
2015-02-20,28.7689266204834,28.7689266204834,28.446804181843213,28.57343012705251,195793600
2015-02-23,29.54646110534668,29.54646110534668,28.804468083621224,28.884443602656212,283896400
2015-02-24,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
2015-02-25,28.611190795898438,29.235445917012076,28.469012477697827,29.226557865362885,298846800
2015-02-26,28.97330665588379,29.073275217137283,28.126900972912463,28.611194771331103,365150000
2015-02-27,28.537885665893555,29.006630434896266,28.4890115466763,28.880001110615524,248059200
2015-03-02,28.6778507232666,28.942214448908402,28.502350605714504,28.71339616650248,192386800
2015-03-03,28.737825393676758,28.773370827213807,28.455689023399984,28.648965199633246,151265200
2015-03-04,28.555654525756836,28.78225240299768,28.506783797135036,28.680063529790168,126665200
2015-03-05,28.08246421813965,28.60230332521728,27.93806390120728,28.56453758391316,226068400
2015-03-06,28.12468147277832,28.740046987832674,28.049149965508676,28.52455744842278,291368400
2015-03-09,28.244646072387695,28.784481799889047,27.782565564049722,28.42681219847674,354114000
2015-03-10,27.660377502441406,28.26241425789635,27.502648465689692,28.08247017418936,275426400
2015-03-11,27.156097412109375,27.718146614528962,27.127218009795744,27.713704281442276,275756000
2015-03-12,27.64704132080078,27.74701155348505,27.020567636595906,27.17163229707292,193450800
2015-03-13,27.455991744995117,27.858091340207817,27.23161759122976,27.635937504472345,207309200
2015-03-16,27.758121490478516,27.758121490478516,27.29604279372521,27.520416950669613,143497200
2015-03-17,28.222423553466797,28.28462635641722,27.913629856749154,27.96916831579764,204092400
2015-03-18,28.54010772705078,28.693394438520734,28.073584942676437,28.21354126951889,261083600
2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.26020050048828,28.402378876416456,28.10691375038762,28.24020746085773,150838800
2015-03-24,28.144676208496094,28.44458191910523,28.11579511873549,28.264639509679526,131369200
2015-03-25,27.409345626831055,28.173555530969583,27.409345626831055,28.11135271456754,206620800
2015-03-26,27.60038948059082,27.742567786493613,27.236057359852527,27.271602783777777,190291600
2015-03-27,27.380470275878906,27.70259277763518,27.30493875763532,27.673713378583198,158184800
2015-03-30,28.073585510253906,28.080249855252642,27.54708022165996,27.55818859325754,188398800
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.8403263092041,27.89364276992168,27.58929301571328,27.775901475674658,128880400
2015-04-06,28.29129409790039,28.32683952951182,27.62039017777961,27.651491582989873,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.90253448486328,28.080258314567526,27.762578113028724,27.958072969783352,149316800
2015-04-09,28.115793228149414,28.12023725469051,27.693702231319484,27.958064183930947,129936000
2015-04-10,28.235759735107422,28.26019679916635,27.826997381575723,27.980282416700256,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.058032989501953,28.2779648347118,27.971393120331427,28.213540012397917,102098400
2015-04-15,28.164670944213867,28.24242446960834,27.99361318834602,28.082475086611023,115881600
2015-04-16,28.029155731201172,28.235758915493303,28.01582704024673,28.053592794550752,113476000
2015-04-17,27.71369743347168,28.022491201146448,27.649272602783466,27.891421221225347,207828000
2015-04-20,28.346832275390625,28.462351537154245,27.806998326302168,27.895860209527733,188217200
2015-04-21,28.193544387817383,28.480121347261836,28.140226246381843,28.45790799734594,129740400
2015-04-22,28.57343101501465,28.6289694851199,28.062478106986084,28.211320800092256,150618000
2015-04-23,28.80670166015625,28.973317119014887,28.466806395268648,28.502351840043872,183083600
2015-04-24,28.942211151123047,29.019966375616807,28.70894886744142,28.988864963779235,178103600
2015-04-27,29.468708038330078,29.575344331297668,29.135477249853828,29.39317653982719,387816800
2015-04-28,29.004411697387695,29.888583241459457,28.784481513019248,29.8708139130615,475696000
2015-04-29,28.57787322998047,29.233226457714377,28.502341728977694,28.915548055956197,253544400
2015-04-30,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
2015-05-01,28.64673614501953,28.908879431182097,27.8358760088577,28.013598058675683,234050400
2015-05-04,28.591203689575195,29.00663375040625,28.49345543996789,28.768927471606737,203953200
2015-05-05,27.94695472717285,28.535661067838543,27.942510701073854,28.469014235548403,197085600
2015-05-06,27.77145767211914,28.15800495791627,27.404903422444445,28.11579517734717,288564000
2015-05-07,27.943227767944336,28.126154782564676,27.666605100388406,27.833916456516,175763600
2015-05-08,28.469703674316406,28.469703674316406,28.132849635444217,28.26000621009435,222201600
2015-05-11,28.179702758789062,28.456323810934226,28.025775718347,28.41840030015216,168143200
2015-05-12,28.079307556152344,28.30461895496568,27.84507097887534,28.019074515376378,192640000
2015-05-13,28.110536575317383,28.3737731531699,28.079305261163608,28.14176788947116,138776800
2015-05-14,28.766401290893555,28.766401290893555,28.36708631302993,28.42285677051672,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.043020248413086,29.161253330755034,28.63478014366407,28.639242732797204,203531600
2015-05-19,29.016254425048828,29.196950157503426,28.920327470857302,29.154564066392645,178532800
2015-05-20,29.014022827148438,29.219257706248666,28.853403634120667,29.000638461722566,145819600
2015-05-21,29.310718536376953,29.36425939557472,28.962711461487057,29.016252320684828,158921600
2015-05-22,29.56725311279297,29.663180033616797,29.312940058548296,29.357559130907642,182384000
2015-05-26,28.915861129760742,29.64980214028677,28.804320232449268,29.58064732858694,282790400
2015-05-27,29.45572280883789,29.50480108287714,29.011792153608145,29.076484385409774,183332800
2015-05-28,29.397724151611328,29.43564765535413,29.246030136640115,29.41557110701242,122933200
2015-05-29,29.0631046295166,29.32410999886731,28.97833243292166,29.27503171704488,203538000
2015-06-01,29.121097564697266,29.310718462078576,29.01178965788815,29.06309752034872,128451200
2015-06-02,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
2015-06-03,29.027408599853516,29.21033734676542,28.97833032160685,29.147874702443996,123934000
2015-06-04,28.85786247253418,29.13002254734294,28.75747634093119,28.906940742021543,153800400
2015-06-05,28.699472427368164,28.931479407354722,28.634780202616195,28.889093320398054,142507200
2015-06-08,28.509862899780273,28.824409144968126,28.293473219385152,28.75525090780299,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.750783920288086,28.853399643667018,28.521008233053088,28.536623891216717,156349200
2015-06-11,28.68609046936035,29.04078974685961,28.661551332957096,28.817707926451256,141563600
